B01003_001E,B02001_002E,B02001_003E,B03003_003E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B25003_001E,B25003_002E,B25003_003E,B25002_001E,B25002_003E,B19013_001E,B25064_001E,B05002_013E,B08301_001E,B08301_019E,NAME,state,county,tract,block group,ca_id,ca_name,year,geoid_bg,share_white,share_black,share_hispanic,ba_plus_total,share_ba_plus,renter_share,homeownership_rate,vacancy_rate,med_income,med_income_log,med_rent,med_rent_log,foreign_born_share,walk_to_work_share
670,20.0,650.0,,513,26.0,52.0,,6.0,343,68,275.0,398,55.0,,887.0,,266,,Block Group 1; Census Tract 5303; Cook County; Illinois,17,031,530300,1,53,West Pullman,2022,170315303001,0.029850746268656716,0.9701492537313433,,84.0,0.16374269005847952,0.8017492711370262,0.19825072886297376,0.13819095477386933,,,887.0,6.78897174299217,,
515,,515.0,,481,50.0,99.0,,,293,200,93.0,352,59.0,70377.0,,,267,56.0,Block Group 2; Census Tract 5303; Cook County; Illinois,17,031,530300,2,53,West Pullman,2022,170315303002,,1.0,,149.0,0.3097713097713098,0.3174061433447099,0.6825938566552902,0.16761363636363635,70377.0,11.161635993307835,,,,0.20973782771535582
887,,794.0,,623,6.0,65.0,,6.0,406,261,145.0,414,8.0,29839.0,,,381,,Block Group 3; Census Tract 5303; Cook County; Illinois,17,031,530300,3,53,West Pullman,2022,170315303003,,0.895152198421646,,77.0,0.12359550561797752,0.35714285714285715,0.6428571428571429,0.01932367149758454,29839.0,10.303605054317698,,,,
1412,,1377.0,,839,175.0,9.0,,,486,376,110.0,548,62.0,54139.0,1669.0,,483,,Block Group 4; Census Tract 5303; Cook County; Illinois,17,031,530300,4,53,West Pullman,2022,170315303004,,0.9752124645892352,,184.0,0.21930870083432658,0.22633744855967078,0.7736625514403292,0.11313868613138686,54139.0,10.899328563168293,1669.0,7.4205789054108005,,
985,5.0,873.0,66.0,495,11.0,5.0,,,291,174,117.0,321,30.0,67014.0,1926.0,,353,6.0,Block Group 1; Census Tract 5304; Cook County; Illinois,17,031,530400,1,53,West Pullman,2022,170315304001,0.005076142131979695,0.8862944162436548,0.06700507614213198,16.0,0.03232323232323232,0.4020618556701031,0.5979381443298969,0.09345794392523364,67014.0,11.112671753912597,1926.0,7.563719668414366,,0.0169971671388102
1371,60.0,1305.0,16.0,954,80.0,23.0,,11.0,525,450,75.0,538,13.0,86531.0,1328.0,,655,26.0,Block Group 2; Census Tract 5304; Cook County; Illinois,17,031,530400,2,53,West Pullman,2022,170315304002,0.0437636761487965,0.9518599562363238,0.011670313639679067,114.0,0.11949685534591195,0.14285714285714285,0.8571428571428571,0.024163568773234202,86531.0,11.36826956670476,1328.0,7.192182058713246,,0.03969465648854962
2206,1329.0,56.0,1774.0,1381,146.0,50.0,,12.0,544,390,154.0,565,21.0,58033.0,1266.0,,1044,,Block Group 1; Census Tract 6201; Cook County; Illinois,17,031,620100,1,62,West Elsdon,2022,170316201001,0.6024478694469628,0.025385312783318223,0.8041704442429737,208.0,0.15061549601737872,0.28308823529411764,0.7169117647058824,0.03716814159292035,58033.0,10.968784324672963,1266.0,7.144407180321139,,
1937,639.0,,1617.0,1207,115.0,96.0,,,422,422,,422,,99000.0,,,951,10.0,Block Group 2; Census Tract 6201; Cook County; Illinois,17,031,620100,2,62,West Elsdon,2022,170316201002,0.329891584925142,,0.8347960764068146,211.0,0.1748135874067937,,1.0,,99000.0,11.502885230075814,,,,0.010515247108307046
655,201.0,,585.0,428,11.0,4.0,,,249,189,60.0,249,,,1160.0,,235,,Block Group 3; Census Tract 6201; Cook County; Illinois,17,031,620100,3,62,West Elsdon,2022,170316201003,0.3068702290076336,,0.8931297709923665,15.0,0.035046728971962614,0.24096385542168675,0.7590361445783133,,,,1160.0,7.057036981697891,,
793,633.0,,391.0,566,123.0,26.0,9.0,,287,231,56.0,312,25.0,67440.0,876.0,,310,,Block Group 1; Census Tract 6202; Cook County; Illinois,17,031,620200,1,62,West Elsdon,2022,170316202001,0.798234552332913,,0.4930643127364439,158.0,0.2791519434628975,0.1951219512195122,0.8048780487804879,0.08012820512820513,67440.0,11.119008420561059,876.0,6.776506992372183,,
1155,495.0,,881.0,771,70.0,18.0,,,473,215,258.0,509,36.0,49402.0,1149.0,,562,,Block Group 2; Census Tract 6202; Cook County; Illinois,17,031,620200,2,62,West Elsdon,2022,170316202002,0.42857142857142855,,0.7627705627705628,88.0,0.11413748378728923,0.5454545454545454,0.45454545454545453,0.07072691552062868,49402.0,10.807766430077038,1149.0,7.047517221357296,,
1323,735.0,,1050.0,839,101.0,18.0,,,369,262,107.0,369,,68264.0,917.0,,530,55.0,Block Group 1; Census Tract 6203; Cook County; Illinois,17,031,620300,1,62,West Elsdon,2022,170316203001,0.5555555555555556,,0.7936507936507936,119.0,0.14183551847437426,0.2899728997289973,0.7100271002710027,,68264.0,11.131152469118852,917.0,6.822197390620491,,0.10377358490566038
1327,542.0,,1239.0,731,35.0,171.0,,,247,247,,247,,134297.0,,,641,42.0,Block Group 2; Census Tract 6203; Cook County; Illinois,17,031,620300,2,62,West Elsdon,2022,170316203002,0.4084400904295403,,0.9336850037678975,206.0,0.2818057455540356,,1.0,,134297.0,11.80781649036768,,,,0.0655226209048362
1002,388.0,,685.0,662,294.0,21.0,,,316,298,18.0,326,10.0,66042.0,,,481,38.0,Block Group 3; Census Tract 6203; Cook County; Illinois,17,031,620300,3,62,West Elsdon,2022,170316203003,0.3872255489021956,,0.6836327345309381,315.0,0.47583081570996977,0.056962025316455694,0.9430379746835443,0.03067484662576687,66042.0,11.09806132401622,,,,0.079002079002079
978,411.0,,893.0,619,20.0,19.0,,,294,294,,294,,56548.0,,,386,,Block Group 4; Census Tract 6203; Cook County; Illinois,17,031,620300,4,62,West Elsdon,2022,170316203004,0.42024539877300615,,0.9130879345603272,39.0,0.0630048465266559,,1.0,,56548.0,10.942862797921952,,,,
795,364.0,,510.0,675,119.0,158.0,12.0,,279,178,101.0,301,22.0,165709.0,1052.0,,472,58.0,Block Group 5; Census Tract 6203; Cook County; Illinois,17,031,620300,5,62,West Elsdon,2022,170316203005,0.4578616352201258,,0.6415094339622641,289.0,0.42814814814814817,0.36200716845878134,0.6379928315412187,0.07308970099667775,165709.0,12.01799455162384,1052.0,6.959398512133975,,0.1228813559322034
1655,757.0,37.0,1364.0,1164,35.0,55.0,48.0,,768,353,415.0,802,34.0,47696.0,968.0,,623,,Block Group 6; Census Tract 6203; Cook County; Illinois,17,031,620300,6,62,West Elsdon,2022,170316203006,0.45740181268882174,0.022356495468277945,0.8241691842900302,138.0,0.11855670103092783,0.5403645833333334,0.4596354166666667,0.04239401496259352,47696.0,10.772623781816819,968.0,6.876264611890766,,
1070,597.0,,1001.0,679,40.0,24.0,,,286,168,118.0,316,30.0,53816.0,,,435,,Block Group 1; Census Tract 6204; Cook County; Illinois,17,031,620400,1,62,West Elsdon,2022,170316204001,0.5579439252336449,,0.9355140186915888,64.0,0.09425625920471281,0.4125874125874126,0.5874125874125874,0.0949367088607595,53816.0,10.8933446813672,,,,
1485,281.0,33.0,1360.0,937,80.0,,,,403,292,111.0,403,,53705.0,957.0,,589,,Block Group 2; Census Tract 6204; Cook County; Illinois,17,031,620400,2,62,West Elsdon,2022,170316204002,0.1892255892255892,0.022222222222222223,0.9158249158249159,80.0,0.08537886872998933,0.27543424317617865,0.7245657568238213,,53705.0,10.891280006098993,957.0,6.86484777797086,,
926,224.0,,627.0,754,67.0,11.0,,25.0,315,299,16.0,331,16.0,79492.0,,,429,,Block Group 3; Census Tract 6204; Cook County; Illinois,17,031,620400,3,62,West Elsdon,2022,170316204003,0.24190064794816415,,0.6771058315334774,103.0,0.13660477453580902,0.050793650793650794,0.9492063492063492,0.04833836858006042,79492.0,11.283424246451302,,,,
1059,273.0,3.0,940.0,501,56.0,5.0,,,294,172,122.0,335,41.0,28914.0,,,344,,Block Group 4; Census Tract 6204; Cook County; Illinois,17,031,620400,4,62,West Elsdon,2022,170316204004,0.2577903682719547,0.0028328611898017,0.8876298394711992,61.0,0.1217564870259481,0.41496598639455784,0.5850340136054422,0.12238805970149254,28914.0,10.272115770592318,,,,
